Source,Target,Type,weight,book
Aeron-Greyjoy,Emmond,Undirected,4,4
Aeron-Greyjoy,Euron-Greyjoy,Undirected,27,4
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,6,4
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,10,4
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,4,4
Aeron-Greyjoy,Meldred-Merlyn,Undirected,7,4
Aeron-Greyjoy,Murenmure,Undirected,11,4
Aeron-Greyjoy,Rus,Undirected,5,4
Aeron-Greyjoy,Theon-Greyjoy,Undirected,3,4
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,20,4
Asha-Greyjoy,Balon-Greyjoy,Undirected,12,4
Asha-Greyjoy,Euron-Greyjoy,Undirected,23,4
Asha-Greyjoy,Theon-Greyjoy,Undirected,13,4
Asha-Greyjoy,Victarion-Greyjoy,Undirected,10,4
Asha-Greyjoy,Robert-Baratheon,Undirected,4,4
Asha-Greyjoy,Red-Oarsman,Undirected,3,4
Asha-Greyjoy,Rodrik-Harlaw,Undirected,7,4
Asha-Greyjoy,Tristifer-Botley,Undirected,16,4
Asha-Greyjoy,Stannis-Baratheon,Undirected,16,4
Asha-Greyjoy,Justin-Massey,Undirected,15,4
Asha-Greyjoy,Clayton-Suggs,Undirected,4,4
Asha-Greyjoy,Galbart-Glover,Undirected,8,4
Asha-Greyjoy,Godry-Farring,Undirected,3,4
Asha-Greyjoy,Grimtongue,Undirected,3,4
Asha-Greyjoy,Hagen,Undirected,3,4
Asha-Greyjoy,Qarl-the-Maid,Undirected,8,4
Asha-Greyjoy,Rolfe-the-Dwarf,Undirected,3,4
Asha-Greyjoy,Sybelle-Glover,Undirected,3,4
Asha-Greyjoy,Torgon-Greyiron,Undirected,3,4
Asha-Greyjoy,Tycho-Nestoris,Undirected,3,4
Baelor-Blacktyde,Balon-Greyjoy,Undirected,3,4
Baelor-Blacktyde,Euron-Greyjoy,Undirected,4,4
Baelor-Blacktyde,Victarion-Greyjoy,Undirected,4,4
Balon-Greyjoy,Euron-Greyjoy,Undirected,23,4
Balon-Greyjoy,Theon-Greyjoy,Undirected,3,4
Balon-Greyjoy,Victarion-Greyjoy,Undirected,13,4
Balon-Greyjoy,Stannis-Baratheon,Undirected,4,4
Dunstan-Drumm,Victarion-Greyjoy,Undirected,3,4
Dunstan-Drumm,Rodrik-Harlaw,Undirected,3,4
Euron-Greyjoy,Victarion-Greyjoy,Undirected,50,4
Euron-Greyjoy,Red-Oarsman,Undirected,6,4
Euron-Greyjoy,Rodrik-Harlaw,Undirected,4,4
